ABCB1	Act
ABL1	Act
ABL2	Act
ACKR3	Act
ACSL3	Act
ACVR2A	LoF
AFF1	Act
AJUBA	LoF
AKT1	Act
ALB	Act
ALK	Act
AMER1	LoF
APC	LoF
AR	Act
ARAF	Act
ARHGAP35	LoF
ARHGAP5	LoF
ARHGEF10L	LoF
ARHGEF12	Act
ARID1A	LoF
ARID1B	LoF
ARID2	LoF
ASXL1	LoF
ASXL2	LoF
ATF7IP	LoF
ATG7	LoF
ATM	LoF
ATR	LoF
ATRX	LoF
AXIN1	LoF
AXIN2	LoF
B2M	LoF
BAP1	LoF
BCL11A	Act
BCL11B	Act
BCL2	Act
BCL6	Act
BCL7A	Act
BCL9	Act
BCL9L	Act
BCLAF1	Act
BCOR	LoF
BCORL1	LoF
BCR	Act
BIRC3	Act
BMPR1A	LoF
BMPR2	LoF
BRAF	Act
BRCA1	LoF
BRCA2	LoF
BRD4	Act
BRD7	LoF
BTK	Act
CAMTA1	LoF
CARD11	Act
CASP8	LoF
CASZ1	LoF
CBFA2T3	Act
CBFB	Act
CBL	Act
CCDC6	LoF
CCND1	Act
CCND2	Act
CCND3	Act
CCR7	LoF
CD58	LoF
CD79B	Act
CDC73	LoF
CDH1	LoF
CDH10	Act
CDK12	LoF
CDK4	Act
CDKN1A	LoF
CDKN1B	LoF
CDKN2A	LoF
CDKN2C	LoF
CDX2	Act
CHD2	LoF
CHD4	Act
CHEK2	LoF
CIC	LoF
CIITA	Act
CLIP1	LoF
CLTC	Act
CLTCL1	Act
CMTR2	LoF
CNOT3	Act
COL1A1	Act
CPEB3	Act
CREBBP	LoF
CRNKL1	Act
CSF3R	Act
CTCF	LoF
CTNNB1	Act
CUL3	LoF
CXCR4	Act
CYLD	LoF
CYP2C8	LoF
CYSLTR2	Act
DAXX	LoF
DAZAP1	LoF
DCAF12L2	Act
DCC	LoF
DCSTAMP	Act
DDB2	LoF
DDX3X	LoF
DGCR8	LoF
DHX9	Act
DICER1	LoF
DIS3	LoF
DNAJB1	LoF
DNMT3A	LoF
DOT1L	LoF
DROSHA	LoF
DUSP16	LoF
EGFR	Act
EIF1AX	LoF
EIF3E	Act
ELF3	LoF
ELF4	Act
EP300	LoF
EPAS1	Act
EPHA2	LoF
EPS15	Act
ERBB2	Act
ERBB3	Act
ERBB4	LoF
ERCC2	LoF
ERCC3	LoF
ERG	Act
ESR1	Act
ESRRA	Act
ETV4	LoF
ETV5	Act
ETV6	Act
EWSR1	Act
EXT2	LoF
EZH2	LoF
FAM135B	Act
FAM46C	LoF
FANCA	LoF
FANCC	LoF
FANCD2	LoF
FANCF	LoF
FAS	LoF
FAT1	LoF
FAT2	Act
FAT4	LoF
FBLN1	Act
FBXO11	LoF
FBXW7	LoF
FGD5	Act
FGFR1	Act
FGFR2	Act
FGFR3	Act
FGFR4	Act
FH	LoF
FLCN	LoF
FLT3	Act
FN1	LoF
FOXA1	LoF
FOXA2	LoF
FOXD4L1	LoF
FOXL2	Act
FOXO1	Act
FOXP1	Act
FUBP1	LoF
GATA1	Act
GATA2	Act
GATA3	LoF
GLI1	Act
GMPS	LoF
GNA11	Act
GNA13	LoF
GNAQ	Act
GNAS	Act
GRIN2A	Act
GTF2I	Act
H3F3A	Act
HGF	Act
HIP1	Act
HIST1H3B	Act
HIST1H4I	Act
HNF1A	LoF
HNRNPA2B1	Act
HOXC13	Act
HOXD13	LoF
HRAS	Act
HSP90AA1	Act
HSP90AB1	Act
HTRA2	LoF
ID3	LoF
IDH1	Act
IDH2	Act
IFNAR1	LoF
IFNGR1	LoF
IL6ST	Act
IL7R	Act
ING1	LoF
IRAK1	LoF
IRF1	LoF
IRS4	LoF
JAK3	Act
KAT6B	Act
KDM5A	Act
KDM5C	LoF
KDM6A	LoF
KDR	Act
KEAP1	Act
KEL	Act
KIF5B	Act
KIFC1	Act
KIT	Act
KLF4	Act
KLHL6	LoF
KMT2A	LoF
KMT2B	LoF
KMT2C	LoF
KMT2D	LoF
KRAS	Act
LATS1	LoF
LATS2	LoF
LDB1	Act
LIFR	Act
LOX	LoF
LPAR4	LoF
LPP	Act
LRP1B	LoF
LTB	Act
LY75-CD302	Act
LZTR1	LoF
MAF	LoF
MALT1	LoF
MAML2	LoF
MAP2K1	Act
MAP2K4	LoF
MAP2K7	LoF
MAP3K1	LoF
MAPK1	Act
MAX	Act
MB21D2	LoF
MDM2	Act
MDM4	Act
MECOM	Act
MED12	Act
MEF2B	LoF
MEN1	LoF
MET	Act
MGA	LoF
MLLT1	Act
MLLT3	Act
MTCP1	Act
MTOR	Act
MYC	Act
MYCN	Act
MYD88	Act
MYH11	Act
MYH9	Act
NCOA2	Act
NCOR1	LoF
NCOR2	Act
NF1	LoF
NF2	LoF
NFE2L2	Act
NFKBIA	LoF
NIN	LoF
NIPBL	LoF
NKTR	Act
NONO	LoF
NPEPPS	LoF
NPRL2	LoF
NRAS	Act
NRG1	Act
NRK	Act
NRP1	LoF
NSD1	Act
NT5C3A	LoF
NTRK1	Act
NTRK3	Act
NUMA1	Act
NUP214	Act
NXF1	Act
P2RY8	Act
PAK2	Act
PBRM1	LoF
PCBP1	Act
PCDH17	LoF
PCMTD1	LoF
PDCD1LG2	Act
PDE4DIP	Act
PDGFRA	Act
PDGFRB	Act
PEG3	Act
PHF6	LoF
PIK3CA	Act
PIK3CB	Act
PIK3R1	LoF
PIM1	LoF
PLAG1	Act
PLCB4	Act
PLCG1	Act
PML	LoF
PMS2	LoF
POLD1	Act
PPM1D	LoF
PPP2R1A	Act
PPP3CA	LoF
PPP6C	LoF
PPT2	Act
PRDM1	LoF
PREX2	Act
PRF1	LoF
PRKAR1A	LoF
PRKCB	Act
PRKCD	LoF
PRR14	LoF
PRRX1	Act
PSIP1	Act
PTCH1	LoF
PTEN	LoF
PTMA	LoF
PTPN11	Act
PTPN13	LoF
PTPN14	LoF
PTPN6	LoF
PTPRC	Act
PTPRD	Act
PTPRK	LoF
PTPRT	LoF
QKI	LoF
RABEP1	LoF
RAC1	Act
RAD21	LoF
RAF1	Act
RALGDS	Act
RANBP2	LoF
RAP1GDS1	Act
RARA	Act
RASA1	LoF
RASA2	LoF
RB1	LoF
RBFOX1	Act
RBFOX2	Act
RBM10	LoF
RBM15	LoF
RBM39	Act
RECQL4	LoF
RELA	Act
RET	Act
RGL3	Act
RGS7	LoF
RHOA	Act
RNF213	Act
RNF43	LoF
RNF6	LoF
RPL10	LoF
RPL22	Act
RPS6KA3	LoF
RRAGC	Act
RRAS2	Act
RXRA	LoF
SALL4	Act
SATB1	Act
SDC4	LoF
SEPT9	Act
SET	Act
SETBP1	Act
SETD1B	LoF
SETD2	LoF
SETDB1	Act
SF3B1	Act
SFMBT2	Act
SIN3A	Act
SIRPA	LoF
SIX1	LoF
SLC45A3	LoF
SMAD2	LoF
SMAD3	LoF
SMAD4	LoF
SMARCA1	LoF
SMARCA4	LoF
SMARCB1	LoF
SMC1A	Act
SMO	Act
SOCS1	LoF
SOHLH2	Act
SOS1	Act
SOX17	Act
SOX21	LoF
SOX9	LoF
SPOP	Act
SRGAP3	Act
SRSF2	Act
STAG2	LoF
STAT6	Act
STK11	LoF
SUSD2	Act
SUZ12	Act
TBL1XR1	LoF
TBX3	LoF
TCF4	Act
TCF7L2	Act
TCIRG1	LoF
TEC	LoF
TET2	LoF
TFAP4	LoF
TFG	LoF
TGFBR2	LoF
TGIF1	LoF
TLL1	Act
TNFAIP3	LoF
TNFRSF14	LoF
TOP1	LoF
TOP2A	Act
TP53	LoF
TRAF3	LoF
TRIM24	Act
TRIM49C	Act
TRIP11	Act
TSC1	LoF
TSC2	LoF
U2AF1	Act
U2AF2	Act
UBE2A	LoF
UBE2D2	Act
UGT2B17	Act
USP44	LoF
USP6	Act
USP9X	LoF
VAV1	Act
VHL	LoF
WAS	LoF
WDR45	LoF
WRN	LoF
WT1	LoF
XPC	LoF
XPO1	Act
ZBTB20	Act
ZBTB7B	Act
ZCRB1	LoF
ZEB1	LoF
ZFHX3	LoF
ZFP36L1	LoF
ZFX	LoF
ZNF148	Act
ZNF165	LoF
ZNF429	LoF
ZNF521	Act
ZNF780A	Act
ZNF814	Act
ZNF93	LoF
ZNRF3	LoF
ZRSR2	LoF
ZXDB	LoF
